ObjectName,R,G,B
MatineeCam_SM_4_PhysXCar_camera_front_right,223,223,95
MatineeCam_SM_5_PhysXCar_camera_front_right,223,223,159
MatineeCam_SM_6_PhysXCar_camera_front_right,223,223,223
Cone_7_PhysXCar_camera_front_right,255,255,79
MatineeCam_SM_8_PhysXCar_camera_front_right,255,127,79
MatineeCam_SM_9_PhysXCar_camera_front_right,255,191,79
MatineeCam_SM_10_PhysXCar_camera_front_right,255,95,79
MatineeCam_SM_11_PhysXCar_camera_front_right,255,159,79
SM_CineCam_0_PhysXCar_camera_driver,255,223,79
MatineeCam_SM_1_PhysXCar_camera_driver,127,255,79
MatineeCam_SM_2_PhysXCar_camera_driver,127,127,79
MatineeCam_SM_3_PhysXCar_camera_driver,127,191,79
MatineeCam_SM_4_PhysXCar_camera_driver,127,95,79
MatineeCam_SM_5_PhysXCar_camera_driver,127,159,79
MatineeCam_SM_6_PhysXCar_camera_driver,127,223,79
Cone_7_PhysXCar_camera_driver,191,255,79
MatineeCam_SM_8_PhysXCar_camera_driver,191,127,79
MatineeCam_SM_9_PhysXCar_camera_driver,191,191,79
MatineeCam_SM_10_PhysXCar_camera_driver,191,95,79
MatineeCam_SM_11_PhysXCar_camera_driver,191,159,79
SM_CineCam_0_PhysXCar_camera_back_center,191,223,79
MatineeCam_SM_1_PhysXCar_camera_back_center,95,255,79
MatineeCam_SM_2_PhysXCar_camera_back_center,95,127,79
MatineeCam_SM_3_PhysXCar_camera_back_center,95,191,79
MatineeCam_SM_4_PhysXCar_camera_back_center,95,95,79
MatineeCam_SM_5_PhysXCar_camera_back_center,95,159,79
MatineeCam_SM_6_PhysXCar_camera_back_center,95,223,79
Cone_7_PhysXCar_camera_back_center,159,255,79
MatineeCam_SM_8_PhysXCar_camera_back_center,159,127,79
MatineeCam_SM_9_PhysXCar_camera_back_center,159,191,79
MatineeCam_SM_10_PhysXCar_camera_back_center,159,95,79
MatineeCam_SM_11_PhysXCar_camera_back_center,159,159,79
