ObjectName,x_pos,y_pos,z_pos,w_qua,x_qua,y_qua,z_qua
TemplateCube_Rounded_153,48.099998474121094,-16.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_284,48.099998474121094,13.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_155,58.099998474121094,-6.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_156,58.099998474121094,-16.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_157,58.099998474121094,13.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_158,58.099998474121094,3.5,-11.479999542236328,1.0,-0.0,0.0,0.0
OrangeBall,34.25,33.099998474121094,-3.684560537338257,1.0,-0.0,0.0,0.0
Cone_5,34.5,-34.39999771118164,-1.6799999475479126,1.0,-0.0,0.0,0.0
Cylinder_2,-45.5,-87.79999542236328,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder2,-46.79999923706055,-94.0,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder3,-43.70000076293945,-95.0,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder4,-37.0,-95.0,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder5,-39.599998474121094,-92.0,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder6,-41.89999771118164,-97.0999984741211,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder7,-42.39999771118164,-89.79999542236328,-0.47999998927116394,1.0,-0.0,0.0,0.0
Cylinder8,-40.0,-99.29999542236328,-0.47999998927116394,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_1,58.099998474121094,-16.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
Wall_C_1,-22.5,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_2,-21.399999618530273,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_3,-21.399999618530273,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_4,-22.5,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_5,-20.299999237060547,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_6,-19.19999885559082,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_7,-19.19999885559082,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_8,-20.299999237060547,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_9,-22.5,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_10,-21.399999618530273,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_11,-21.399999618530273,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_12,-22.5,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_13,-20.299999237060547,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_14,-19.19999885559082,106.69999694824219,-1.7799999713897705,1.0,-0.0,0.0,0.0
Wall_C_15,-19.19999885559082,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_16,-20.299999237060547,106.69999694824219,-2.879999876022339,1.0,-0.0,0.0,0.0
Wall_C_17,-26.899999618530273,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_18,-25.799999237060547,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_19,-25.799999237060547,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_20,-26.899999618530273,106.69999694824219,-0.6800000071525574,1.0,-0.0,0.0,0.0
Wall_C_21,-24.69999885559082,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
Wall_C_22,-23.600000381469727,106.69999694824219,0.41999998688697815,1.0,-0.0,0.0,0.0
